Datum,Von,Bis,Ort,Lektoren,Gruppen,Lehrfach,Anmerkung,StundeVon,StundeBis
06.05.2024,18:30:00,21:00:00,V.BSWE.MC,Stefan Neuwirth,BSWE-2-FFROPRO,Freifach: Repetitorium Objektorientierte Programmierung,.,12,14
07.05.2024,18:30:00,21:00:00,V.BSWE.MC,Sebastian Saip,BSWE-2B2,Softwaremanagement I,.,12,14
08.05.2024,18:30:00,21:00:00,P.EV.BSWE / V.BSWE.MC,Peter Buzanits,BSWE-2B2,Grundlagen der Netzwerktechnologien,.,12,14
15.05.2024,18:30:00,21:00:00,V.BSWE.MC,Stefan Neuwirth,BSWE-2B2,Objektorientierte Programmierung,.,12,14
16.05.2024,18:30:00,21:00:00,P.EV.BSWE / V.BSWE.MC,Franz Knipp,BSWE-2B2,Grundlagen der Netzwerktechnologien,.,12,14
17.05.2024,14:00:00,17:15:00,V.BSWE.MC,Patrizia Sailer,BSWE-2B2,Formale Grundlagen und Datenbanken,.,7,10
17.05.2024,17:45:00,21:00:00,V.BSWE.MC,Barbara-Edith Sach-Lackner,BSWE-2B2,Objektorientierte Programmierung,.,11,14
18.05.2024,09:30:00,12:45:00,V.BSWE.MC,Patrizia Sailer,BSWE-2B2,Formale Grundlagen und Datenbanken,.,2,5
18.05.2024,14:00:00,17:15:00,P.EV.BSWE / V.BSWE.MC,Barbara-Edith Sach-Lackner,BSWE-2B2,Objektorientierte Programmierung,.,7,10
23.05.2024,09:30:00,12:45:00,P.HG.HS2 / P.EV.BSWE,Elke Szalai,BSWE-2B ,Gesellschaft und Technik,.,2,5
23.05.2024,14:00:00,15:30:00,P.HG.CON8,Sebastian Saip,BSWE-2B ,Softwaremanagement I,.,7,8
23.05.2024,15:45:00,17:15:00,P.HG.CON6,Stefan Neuwirth,BSWE-2B2,Objektorientierte Programmierung,.,9,10
23.05.2024,17:45:00,19:15:00,P.HG.CON6,Sebastian Saip,BSWE-2B2,Softwaremanagement I,.,11,12
24.05.2024,09:30:00,12:45:00,P.HG.CON8 / P.EV.BSWE,Patrizia Sailer,BSWE-2B ,Softwaremanagement I,.,2,5
24.05.2024,14:00:00,16:30:00,P.HG.CON6,Franz Knipp,BSWE-2B2,Grundlagen der Netzwerktechnologien,.,7,9
24.05.2024,16:30:00,19:15:00,P.HG.CON6,Peter Buzanits,BSWE-2B2,Grundlagen der Netzwerktechnologien,.,10,12
25.05.2024,09:30:00,13:45:00,P.HG.HS3,Patrizia Sailer,BSWE-2B ,Formale Grundlagen und Datenbanken,.,2,6
28.05.2024,18:30:00,21:00:00,P.EV.BSWE / V.BSWE.MC,Stefan Neuwirth,BSWE-2B2,Objektorientierte Programmierung,.,12,14
29.05.2024,18:30:00,21:00:00,P.EV.BSWE / V.BSWE.MC,Stephen Morley,BSWE-2B2,Kommunikation Englisch II,.,12,14
